applicant_id,ism,jins,yosh,viloyat,bandlik,ish_staji_oy,deklaratsiya_daromad,oila_azolari,talim,mijoz_boldi_oy
A000036,Ismoilov Dildora,F,36,Andijon,qurilish,43,2470000,1,orta,81
A000037,Ochilov Ulugbek,M,39,Surxondaryo,xususiy,71,1750000,3,orta,98
A000038,Hamidov Zilola,F,27,Surxondaryo,qurilish,36,2400000,1,orta_maxsus,105
A000039,Ochilov Nodir,M,61,Sirdaryo,xususiy,110,2930000,7,orta_maxsus,88
A000040,Raximov Feruza,F,45,Qoraqalpog'iston,qurilish,80,8290000,7,orta_maxsus,84
A000041,Mirzayev Alisher,M,34,Qoraqalpog'iston,byudjet,180,6230000,5,orta,88
A000042,Karimov Malika,F,45,Farg'ona,qurilish,54,11320000,3,orta_maxsus,88
A000043,Aliyev Nurbek,M,61,Qoraqalpog'iston,IT,55,2870000,6,oliy,33
A000044,Normatov Madina,F,49,Navoiy,xususiy,45,10340000,7,orta_maxsus,32
A000045,Umarov Nozima,F,27,Andijon,xususiy,134,3490000,2,orta_maxsus,17
A000046,Nazarov Davron,M,27,Qoraqalpog'iston,IT,43,2880000,5,oliy,84
A000047,Tursunov Shahzoda,F,33,Farg'ona,savdo,42,7370000,1,orta,43
A000048,Abdullayev Diyor,M,45,Farg'ona,o'z_ishi,47,2760000,7,oliy,5
A000049,Ergashev Feruza,F,56,Buxoro,byudjet,55,2750000,5,orta,72
A000050,Aliyev Bobur,M,31,Navoiy,byudjet,162,3290000,2,orta,27
A000051,Sharipov Ulugbek,M,44,Surxondaryo,IT,75,5650000,3,oliy,28
A000052,Jo'rayev Bobur,M,62,Andijon,xususiy,159,720000,3,orta_maxsus,50
A000053,G'ulomov Muslima,F,63,Xorazm,xususiy,54,2970000,5,orta_maxsus,86
A000054,Jo'rayev Diyor,M,44,Qashqadaryo,byudjet,72,1030000,6,orta_maxsus,1
A000055,Sharipov Zilola,F,60,Farg'ona,savdo,100,4480000,2,oliy,105
A000056,Sharipov Charos,F,63,Toshkent,savdo,87,2100000,5,orta,82
A000057,Musayev Timur,M,59,Samarqand,qurilish,142,5340000,5,oliy,99
A000058,Tursunov Kamron,M,55,Surxondaryo,o'z_ishi,92,5750000,4,orta,42
A000059,Aliyev Alisher,M,25,Sirdaryo,xususiy,92,9610000,4,oliy,85
A000060,Ismoilov Shohruh,M,33,Samarqand,o'z_ishi,117,7500000,5,orta_maxsus,78
A000061,Umarov Lola,F,28,Jizzax,savdo,134,2440000,5,oliy,114
A000062,Normatov Bobur,M,24,Sirdaryo,xususiy,98,4590000,7,orta,27
A000063,Toshmatov Lola,F,59,Qoraqalpog'iston,qurilish,140,9540000,1,orta_maxsus,119
A000064,Ergashev Akmal,M,53,Andijon,xususiy,53,12790000,7,orta_maxsus,6
A000065,Mirzayev Aziz,M,45,Buxoro,o'z_ishi,107,1540000,4,orta_maxsus,13
A000066,Muhammadiyev Sevara,F,55,Toshkent,xususiy,108,2890000,5,oliy,77
A000067,Karimov Charos,F,40,Toshkent,xususiy,84,6390000,7,orta,93
A000068,Toshmatov Mohira,F,32,Jizzax,savdo,70,1540000,1,oliy,98
A000069,Qodirov Dilnoza,F,43,Andijon,xususiy,169,3430000,3,orta_maxsus,75
A000070,Ravshanov Nozima,F,35,Toshkent,savdo,79,6400000,3,oliy,42
A000071,Ravshanov Anvar,M,48,Andijon,ishsiz,0,6200000,3,oliy,75
A000072,Bekmurodov Oybek,M,29,Jizzax,transport,30,2890000,3,oliy,76
A000073,Rahimov Farrux,M,22,Buxoro,qurilish,11,8240000,1,orta,33
A000074,Yo'ldoshev Bobur,M,63,Samarqand,xususiy,93,4090000,5,orta,80
A000075,Ismoilov Kamron,M,24,Toshkent,savdo,153,5390000,6,oliy,47
A000076,Sultonov Mohira,F,60,Namangan,byudjet,47,3900000,6,oliy,100
A000077,Normatov Bekzod,M,41,Xorazm,xususiy,119,2570000,5,orta_maxsus,102
A000078,Karimov Lola,F,21,Buxoro,o'z_ishi,64,4000000,3,oliy,38
A000079,Mirzayev Zilola,F,61,Buxoro,savdo,161,3820000,6,oliy,75
A000080,Xasanov Kamola,F,29,Toshkent,savdo,64,3360000,7,orta,6
A000081,Aliyev Mirzo,M,33,Toshkent,qurilish,151,2400000,3,oliy,11
A000082,Qodirov Dildora,F,40,Surxondaryo,byudjet,50,2990000,7,orta_maxsus,49
A000083,Xudoyberdiyev Farrux,M,40,Sirdaryo,xususiy,49,5500000,6,orta_maxsus,24
A000084,Toshmatov Alisher,M,23,Qashqadaryo,xususiy,5,7200000,6,oliy,27
A000085,Ochilov Dilnoza,F,61,Qoraqalpog'iston,byudjet,169,11830000,2,oliy,100
A000086,Karimov Shahzoda,F,22,Namangan,qurilish,121,4310000,7,oliy,12
A000087,Yusupov Alisher,M,54,Buxoro,savdo,135,8000000,3,oliy,23
A000088,Mirzayev Nargiza,F,28,Buxoro,savdo,179,2570000,5,orta,92
A000089,Tursunov Aziz,M,53,Toshkent,qurilish,52,27030000,5,orta,83
A000090,Umarov Oybek,M,46,Qashqadaryo,xususiy,130,3640000,1,oliy,118
A000091,Jo'rayev Akmal,M,40,Xorazm,byudjet,98,2390000,5,orta_maxsus,86
A000092,Egamberdiyev Mohira,F,36,Jizzax,savdo,55,2710000,5,orta_maxsus,10
A000093,Aliyev Mohira,F,51,Farg'ona,xususiy,76,7120000,7,orta,63
A000094,Egamberdiyev Shahzoda,F,60,Samarqand,o'z_ishi,172,14180000,1,orta_maxsus,110
A000095,Umarov Mohira,F,59,Buxoro,savdo,83,2490000,1,orta,53
A000096,Musayev Nodir,M,38,Toshkent,xususiy,29,4550000,1,orta,117
A000097,Sharipov Lola,F,47,Qoraqalpog'iston,o'z_ishi,80,1680000,6,oliy,108
A000098,Ochilov Bobur,M,23,Qoraqalpog'iston,xususiy,96,2310000,2,orta_maxsus,3
A000099,G'ulomov Feruza,F,62,Navoiy,savdo,85,2510000,2,orta,79
A000100,Xolmatov Shuhrat,M,22,Buxoro,xususiy,160,5840000,6,orta,66
A000101,Rahimov Dilnoza,F,55,Andijon,xususiy,29,2230000,1,orta_maxsus,92
A000102,Normatov Behruz,M,54,Buxoro,xususiy,30,7330000,6,oliy,86
A000103,Ravshanov Sevara,F,42,Jizzax,o'z_ishi,113,3080000,7,orta,62
A000104,Sharipov Malika,F,36,Toshkent,savdo,145,3090000,5,orta_maxsus,45
A000105,Yo'ldoshev Anvar,M,32,Surxondaryo,byudjet,60,5540000,4,orta,71
A000106,Sharipov Nargiza,F,59,Xorazm,qurilish,24,8490000,7,orta_maxsus,41
A000107,G'ulomov Nilufar,F,50,Toshkent,qurilish,153,3440000,2,orta_maxsus,5
A000108,Aliyev Nilufar,F,63,Qoraqalpog'iston,byudjet,92,4720000,5,oliy,10
A000109,Toshmatov Mirzo,M,51,Buxoro,xususiy,176,4700000,6,orta_maxsus,113
A000110,Bekmurodov Nargiza,F,54,Xorazm,o'z_ishi,53,5050000,1,orta,74
A000111,Normatov Farrux,M,54,Navoiy,xususiy,100,4280000,6,orta_maxsus,59
A000112,Sultonov Alisher,M,47,Toshkent,o'z_ishi,71,2450000,7,orta,45
A000113,Ochilov Kamola,F,48,Qoraqalpog'iston,savdo,172,13090000,7,oliy,32
A000114,Saidov Alisher,M,50,Xorazm,xususiy,156,5010000,3,oliy,63
A000115,Boboyev Timur,M,44,Buxoro,transport,105,10540000,5,orta_maxsus,77
A000116,Sultonov Kamola,F,42,Jizzax,byudjet,25,6600000,7,orta_maxsus,49
A000117,G'ulomov Charos,F,27,Jizzax,xususiy,150,4370000,4,oliy,36
A000118,Aliyev Umid,M,21,Toshkent,byudjet,171,5480000,5,oliy,101
A000119,Muhammadiyev Kamola,F,50,Sirdaryo,savdo,112,3060000,7,oliy,13
A000120,Qodirov Nilufar,F,53,Toshkent,transport,18,3180000,1,orta_maxsus,41
A000121,Normatov Mohira,F,62,Namangan,transport,66,14640000,7,oliy,94
A000122,Nurmatov Aziza,F,39,Surxondaryo,o'z_ishi,123,6950000,5,orta_maxsus,87
A000123,Mirzayev Ulugbek,M,42,Surxondaryo,savdo,18,7310000,5,orta_maxsus,60
A000124,Sattorov Farrux,M,55,Toshkent,xususiy,56,5970000,7,oliy,33
A000125,Hamidov Oybek,M,60,Namangan,savdo,74,9650000,1,oliy,36
A000126,Normatov Sevara,F,32,Andijon,xususiy,138,7060000,2,oliy,120
A000127,Muhammadiyev Malika,F,28,Qoraqalpog'iston,transport,54,1950000,4,orta,40
A000128,Nazarov Dilnoza,F,23,Navoiy,ishsiz,0,2900000,6,oliy,77
A000129,Tursunov Akmal,M,59,Samarqand,o'z_ishi,34,4200000,2,orta,6
A000130,Rahimov Charos,F,43,Qashqadaryo,xususiy,154,5490000,1,orta_maxsus,71
A000131,Qurbonov Anvar,M,37,Andijon,xususiy,106,5300000,4,orta,22
A000132,Xolmatov Shohruh,M,29,Sirdaryo,IT,110,2650000,7,oliy,8
A000133,Boboyev Shuhrat,M,43,Qoraqalpog'iston,savdo,44,3830000,4,oliy,27
A000134,Ismoilov Javohir,M,36,Qoraqalpog'iston,byudjet,158,3390000,2,orta_maxsus,49
A000135,Karimov Shuhrat,M,24,Farg'ona,o'z_ishi,143,1810000,6,orta,24
A000136,Qodirov Anvar,M,32,Toshkent,xususiy,114,3090000,3,orta,27
A000137,Yusupov Timur,M,49,Xorazm,savdo,5,3460000,3,orta,114
A000138,G'ulomov Kamola,F,34,Sirdaryo,byudjet,79,3400000,2,oliy,69
A000139,Toshmatov Nilufar,F,35,Sirdaryo,savdo,64,5870000,1,orta,112
A000140,Karimov Zarina,F,33,Andijon,savdo,123,3860000,7,orta,34
A000141,Xasanov Nodir,M,55,Navoiy,IT,149,3960000,7,oliy,115
A000142,Ismoilov Aziza,F,48,Farg'ona,xususiy,85,5740000,2,oliy,66
A000143,Sharipov Sabina,F,38,Navoiy,xususiy,128,1360000,2,orta,64
A000144,Toshmatov Lola,F,26,Sirdaryo,xususiy,81,3940000,1,orta,32
A000145,Jo'rayev Muslima,F,62,Namangan,savdo,54,4880000,6,oliy,84
A000146,Yusupov Zarina,F,27,Toshkent,transport,6,3810000,4,oliy,65
A000147,Rahimov Diyor,M,36,Toshkent,byudjet,59,7630000,4,oliy,77
A000148,Toshmatov Malika,F,60,Namangan,savdo,14,4370000,4,orta_maxsus,50
A000149,Xasanov Aziza,F,53,Qoraqalpog'iston,savdo,46,3360000,3,oliy,52
A000150,Karimov Doston,M,32,Buxoro,xususiy,68,1630000,7,orta_maxsus,50
A000151,Jo'rayev Madina,F,61,Toshkent,byudjet,34,5510000,7,orta,112
A000152,Karimov Islom,M,38,Navoiy,IT,62,3090000,4,orta,118
A000153,Ismoilov Elyor,M,21,Qoraqalpog'iston,IT,152,7010000,1,orta,16
A000154,Yusupov Gulnora,F,39,Jizzax,byudjet,127,3870000,6,orta,107
A000155,Karimov Nilufar,F,59,Farg'ona,savdo,10,3910000,1,orta_maxsus,9
A000156,Sharipov Islom,M,29,Jizzax,IT,18,2930000,4,oliy,39
A000157,Qurbonov Bobur,M,48,Navoiy,savdo,77,3470000,3,orta_maxsus,4
A000158,Ravshanov Muslima,F,34,Xorazm,transport,50,3740000,3,orta_maxsus,74
A000159,Xolmatov Zafar,M,58,Andijon,xususiy,105,3360000,4,oliy,85
A000160,Xasanov Feruza,F,41,Jizzax,byudjet,125,4280000,6,orta,78
A000161,Abdullayev Charos,F,35,Navoiy,savdo,43,4510000,4,oliy,113
A000162,Hamidov Dildora,F,25,Namangan,o'z_ishi,178,2350000,2,orta,7
A000163,Karimov Nargiza,F,58,Sirdaryo,xususiy,41,11710000,4,oliy,70
A000164,Xudoyberdiyev Umid,M,26,Qoraqalpog'iston,o'z_ishi,2,5630000,5,oliy,77
A000165,Musayev Feruza,F,28,Farg'ona,savdo,93,3990000,2,orta_maxsus,30
A000166,Abdullayev Anvar,M,55,Navoiy,qurilish,30,17880000,2,oliy,104
A000167,Abdullayev Shuhrat,M,42,Qoraqalpog'iston,byudjet,132,2420000,6,oliy,65
A000168,Ochilov Muslima,F,29,Qoraqalpog'iston,o'z_ishi,151,4040000,1,orta,9
A000169,Jo'rayev Zilola,F,52,Toshkent,byudjet,95,6270000,6,oliy,109
A000170,Umarov Mohira,F,33,Samarqand,IT,94,1720000,1,orta,30
A000171,Xolmatov Timur,M,51,Xorazm,qurilish,116,4890000,2,oliy,51
A000172,Musayev Madina,F,54,Samarqand,qurilish,151,14490000,7,orta_maxsus,20
A000173,Aliyev Umid,M,48,Xorazm,byudjet,35,6340000,5,orta,40
A000174,Sultonov Bobur,M,43,Qashqadaryo,IT,81,7650000,1,oliy,112
A000175,Nazarov Sabina,F,51,Surxondaryo,o'z_ishi,143,9880000,4,orta_maxsus,42
A000176,Bekmurodov Madina,F,59,Qoraqalpog'iston,IT,54,4310000,7,orta_maxsus,55
A000177,Nurmatov Dildora,F,48,Qoraqalpog'iston,xususiy,105,4720000,7,oliy,27
A000178,Hamidov Islom,M,41,Farg'ona,savdo,131,4170000,5,orta,48
A000179,G'ulomov Nozima,F,25,Surxondaryo,xususiy,18,1750000,3,orta,104
A000180,Egamberdiyev Oybek,M,38,Surxondaryo,xususiy,78,6030000,6,oliy,83
A000181,Rahimov Zilola,F,53,Qashqadaryo,savdo,155,7860000,5,orta,20
A000182,Saidov Shahzoda,F,34,Qoraqalpog'iston,savdo,174,5320000,5,oliy,13
A000183,Rahimov Aziza,F,42,Sirdaryo,IT,160,2820000,4,orta_maxsus,38
A000184,Nazarov Sabina,F,26,Xorazm,byudjet,125,8490000,1,orta,7
A000185,Nazarov Zarina,F,53,Buxoro,byudjet,147,1600000,7,orta,35
A000186,Ergashev Charos,F,40,Farg'ona,xususiy,133,4340000,5,oliy,118
A000187,G'ulomov Shuhrat,M,47,Andijon,savdo,98,2090000,2,orta,58
A000188,Yo'ldoshev Sabina,F,40,Toshkent,xususiy,162,2000000,4,orta,82
A000189,Bekmurodov Dildora,F,60,Sirdaryo,xususiy,127,2590000,7,orta_maxsus,23
A000190,Tursunov Alisher,M,36,Surxondaryo,o'z_ishi,52,4570000,5,orta,83
A000191,Raximov Nargiza,F,26,Navoiy,byudjet,174,2630000,1,orta,39
A000192,Yusupov Malika,F,21,Qoraqalpog'iston,transport,146,3080000,4,orta,113
A000193,Nazarov Mohira,F,54,Qoraqalpog'iston,IT,156,3100000,2,orta_maxsus,44
A000194,Boboyev Nozima,F,44,Navoiy,xususiy,41,1690000,2,oliy,80
A000195,Aliyev Lola,F,37,Qoraqalpog'iston,xususiy,160,4210000,2,orta_maxsus,82
A000196,Aliyev Dilnoza,F,29,Surxondaryo,o'z_ishi,34,2020000,3,orta,26
A000197,Toshmatov Diyor,M,22,Jizzax,xususiy,178,3300000,4,oliy,78
A000198,Yo'ldoshev Nurbek,M,25,Farg'ona,byudjet,16,8180000,5,oliy,1
A000199,Abdullayev Kamola,F,36,Buxoro,IT,159,840000,4,orta,26
A000200,Toshmatov Davron,M,23,Toshkent,savdo,57,4760000,4,oliy,43
A000201,Bekmurodov Umid,M,56,Jizzax,xususiy,152,4300000,2,oliy,12
A000202,Toshmatov Nargiza,F,60,Buxoro,transport,149,2620000,4,oliy,16
A000203,Raximov Malika,F,27,Xorazm,xususiy,126,4700000,3,orta_maxsus,58
A000204,Abdullayev Feruza,F,56,Qashqadaryo,IT,148,2570000,1,orta,94
A000205,Qodirov Lola,F,54,Jizzax,byudjet,122,3020000,6,oliy,114
A000206,Sharipov Otabek,M,44,Toshkent,IT,124,1930000,5,oliy,112
A000207,Raximov Nargiza,F,54,Buxoro,o'z_ishi,58,1760000,7,orta_maxsus,10
A000208,Rahimov Akmal,M,35,Namangan,qurilish,16,2720000,1,oliy,55
A000209,Egamberdiyev Shohruh,M,54,Jizzax,savdo,172,4060000,1,orta_maxsus,2
A000210,G'ulomov Feruza,F,21,Sirdaryo,o'z_ishi,79,6290000,6,oliy,120
A000211,Mirzayev Aziz,M,57,Navoiy,savdo,142,5260000,1,orta,111
A000212,Karimov Ulugbek,M,35,Namangan,o'z_ishi,146,4850000,5,oliy,25
A000213,Qurbonov Nozima,F,51,Toshkent,xususiy,95,3740000,5,orta,36
A000214,Ochilov Islom,M,53,Sirdaryo,xususiy,168,2950000,2,orta_maxsus,112
A000215,Muhammadiyev Madina,F,63,Xorazm,byudjet,107,5140000,2,orta_maxsus,116
A000216,Muhammadiyev Charos,F,43,Navoiy,xususiy,49,3030000,7,orta,32
A000217,Qurbonov Zilola,F,50,Namangan,xususiy,118,3440000,1,orta_maxsus,53
A000218,Umarov Aziza,F,45,Farg'ona,transport,70,1690000,3,orta_maxsus,43
A000219,Raximov Bobur,M,33,Qashqadaryo,savdo,1,4400000,1,orta,39
A000220,Qodirov Shahzoda,F,52,Xorazm,xususiy,100,2660000,4,orta,15
A000221,Xudoyberdiyev Gulnora,F,54,Buxoro,qurilish,52,7620000,2,orta_maxsus,50
A000222,Sultonov Malika,F,50,Namangan,xususiy,103,3790000,3,oliy,97
A000223,Nurmatov Sabina,F,35,Namangan,xususiy,17,3770000,7,orta,63
A000224,Tursunov Zarina,F,23,Qashqadaryo,xususiy,25,5460000,6,orta,94
A000225,Saidov Farrux,M,44,Namangan,qurilish,178,10060000,7,orta,23
A000226,Nazarov Sabina,F,26,Sirdaryo,transport,109,4610000,6,oliy,2
A000227,Yusupov Bekzod,M,47,Qoraqalpog'iston,xususiy,69,3710000,4,orta,71
A000228,Nazarov Nodir,M,25,Navoiy,xususiy,10,4390000,6,orta,69
A000229,Egamberdiyev Aziza,F,35,Navoiy,xususiy,137,2340000,5,orta,68
A000230,Raximov Doston,M,51,Navoiy,ishsiz,0,1790000,3,orta,27
A000231,Mirzayev Dildora,F,40,Sirdaryo,xususiy,68,3490000,5,oliy,71
A000232,Normatov Muslima,F,39,Sirdaryo,o'z_ishi,151,4100000,5,orta,93
A000233,Ochilov Nodir,M,60,Xorazm,xususiy,74,3490000,7,orta,40
A000234,Bekmurodov Elyor,M,48,Qoraqalpog'iston,ishsiz,0,2670000,6,orta_maxsus,9
A000235,Sultonov Mohira,F,54,Sirdaryo,transport,169,6300000,4,oliy,29
A000236,G'ulomov Madina,F,37,Buxoro,byudjet,87,5330000,1,orta_maxsus,13
A000237,Ravshanov Nodir,M,53,Buxoro,savdo,63,11180000,3,orta,43
A000238,G'ulomov Aziz,M,54,Xorazm,byudjet,162,4190000,3,orta_maxsus,7
A000239,Xudoyberdiyev Timur,M,32,Qashqadaryo,transport,148,7170000,3,orta,100
A000240,Raximov Gulnora,F,36,Qoraqalpog'iston,byudjet,125,3130000,3,orta_maxsus,101
A000241,Boboyev Nargiza,F,21,Buxoro,xususiy,95,4250000,2,orta,41
A000242,Muhammadiyev Madina,F,31,Namangan,transport,21,2140000,5,orta_maxsus,98
A000243,Saidov Nilufar,F,22,Qashqadaryo,o'z_ishi,13,6060000,3,orta_maxsus,73
A000244,Xudoyberdiyev Kamron,M,42,Qashqadaryo,byudjet,157,4220000,1,orta_maxsus,110
A000245,Nurmatov Farrux,M,52,Toshkent,byudjet,70,18290000,6,oliy,85
A000246,Toshmatov Elyor,M,52,Qashqadaryo,xususiy,38,7100000,7,orta,39
A000247,Rahimov Jasur,M,55,Xorazm,transport,156,4530000,6,orta_maxsus,27
A000248,Umarov Islom,M,61,Samarqand,xususiy,22,6410000,4,orta_maxsus,90
A000249,Raximov Lola,F,55,Namangan,xususiy,174,2650000,3,orta,116
A000250,Rahimov Alisher,M,35,Qashqadaryo,xususiy,46,2650000,4,orta,67
A000251,G'ulomov Sardor,M,56,Qoraqalpog'iston,o'z_ishi,167,8100000,5,orta,13
A000252,Musayev Sevara,F,36,Xorazm,savdo,80,3440000,1,orta,119
A000253,Sattorov Sevara,F,62,Andijon,savdo,26,2840000,4,orta,75
A000254,Nazarov Muslima,F,38,Farg'ona,xususiy,107,6830000,6,orta,69
A000255,Bekmurodov Nozima,F,36,Xorazm,o'z_ishi,56,12250000,4,orta,3
A000256,Ravshanov Dildora,F,52,Jizzax,savdo,81,6040000,3,orta_maxsus,69
A000257,Saidov Bobur,M,56,Namangan,IT,32,6120000,5,orta_maxsus,70
A000258,Nurmatov Dilnoza,F,49,Surxondaryo,savdo,1,2630000,1,oliy,98
A000259,Ismoilov Gulnora,F,45,Sirdaryo,xususiy,71,1700000,3,oliy,8
A000260,Yo'ldoshev Jasur,M,48,Samarqand,byudjet,49,1450000,7,orta_maxsus,12
A000261,Saidov Oybek,M,43,Sirdaryo,byudjet,26,3250000,5,oliy,12
A000262,Hamidov Jasur,M,62,Buxoro,xususiy,66,6020000,1,orta,37
A000263,Tursunov Kamron,M,61,Samarqand,xususiy,32,4120000,1,orta,45
A000264,G'ulomov Behruz,M,36,Namangan,IT,53,7730000,1,orta,70
A000265,Ismoilov Gulnora,F,54,Jizzax,xususiy,146,5280000,3,oliy,82
A000266,Hamidov Shahzoda,F,55,Xorazm,xususiy,155,2150000,3,orta_maxsus,106
A000267,Xasanov Kamola,F,34,Qashqadaryo,qurilish,38,2520000,6,oliy,33
A000268,Rahimov Zilola,F,33,Andijon,byudjet,173,8820000,6,oliy,65
A000269,Sultonov Charos,F,48,Farg'ona,byudjet,53,4650000,7,orta,72
A000270,Boboyev Kamron,M,29,Navoiy,byudjet,88,6980000,2,oliy,78
A000271,Saidov Elyor,M,28,Namangan,byudjet,152,10280000,7,orta,19
A000272,Egamberdiyev Shohruh,M,43,Qoraqalpog'iston,qurilish,11,4320000,5,oliy,71
A000273,Hamidov Shahzoda,F,59,Andijon,xususiy,53,11880000,4,orta,0
A000274,Muhammadiyev Nozima,F,22,Jizzax,savdo,26,8370000,2,orta,84
A000275,Karimov Charos,F,62,Navoiy,xususiy,65,7340000,3,oliy,102
A000276,Muhammadiyev Lola,F,45,Namangan,savdo,105,3230000,7,orta_maxsus,98
A000277,Bekmurodov Shuhrat,M,50,Surxondaryo,qurilish,26,2720000,7,oliy,88
A000278,Bekmurodov Madina,F,27,Surxondaryo,o'z_ishi,149,6180000,1,orta,50
A000279,Egamberdiyev Madina,F,29,Navoiy,xususiy,154,8750000,6,oliy,94
A000280,Toshmatov Sabina,F,50,Xorazm,qurilish,97,2250000,7,oliy,31
A000281,Yusupov Nargiza,F,53,Jizzax,xususiy,5,9040000,7,oliy,62
A000282,Raximov Malika,F,26,Qoraqalpog'iston,xususiy,26,5200000,6,orta_maxsus,117
A000283,Toshmatov Akmal,M,54,Andijon,byudjet,83,5040000,6,oliy,114
A000284,Qurbonov Javohir,M,51,Samarqand,savdo,74,7220000,2,oliy,107
A000285,Bekmurodov Zilola,F,44,Navoiy,o'z_ishi,66,3340000,3,orta_maxsus,88
A000286,Sharipov Elyor,M,51,Qashqadaryo,xususiy,107,6030000,4,oliy,37
A000287,Jo'rayev Dilnoza,F,32,Jizzax,o'z_ishi,168,1690000,5,oliy,60
A000288,Qodirov Shuhrat,M,48,Xorazm,xususiy,75,4980000,7,orta_maxsus,6
A000289,Sultonov Nozima,F,52,Farg'ona,IT,122,3940000,3,orta_maxsus,4
A000290,Musayev Ulugbek,M,21,Namangan,byudjet,33,950000,2,orta_maxsus,62
A000291,Xolmatov Davron,M,34,Jizzax,savdo,164,2430000,1,oliy,80
A000292,Umarov Nilufar,F,50,Jizzax,xususiy,144,4830000,4,orta,69
A000293,Raximov Shahzoda,F,45,Andijon,transport,39,5410000,6,orta_maxsus,107
A000294,Ravshanov Dilnoza,F,32,Buxoro,savdo,132,18050000,7,orta_maxsus,62
A000295,Ravshanov Dildora,F,24,Qashqadaryo,byudjet,55,3800000,5,orta_maxsus,45
A000296,Tursunov Shahzoda,F,39,Jizzax,byudjet,74,2350000,2,orta,26
A000297,Yusupov Dildora,F,24,Namangan,IT,163,2150000,3,orta,82
A000298,Karimov Gulnora,F,32,Qashqadaryo,o'z_ishi,26,4230000,5,oliy,79
A000299,Karimov Jasur,M,34,Samarqand,qurilish,1,6610000,5,orta_maxsus,66
A000300,Bekmurodov Shahzoda,F,27,Farg'ona,IT,18,5000000,7,orta,109
A000301,Ochilov Gulnora,F,57,Sirdaryo,byudjet,88,4370000,4,oliy,48
A000302,Sattorov Aziza,F,35,Sirdaryo,savdo,61,8950000,4,orta,10
A000303,Xolmatov Mohira,F,28,Toshkent,byudjet,13,9720000,3,orta_maxsus,10
A000304,Abdullayev Aziza,F,44,Surxondaryo,o'z_ishi,81,11700000,5,orta_maxsus,87
